feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10
0.5692099849312818,0.9398372318504122,0.16954297848770383,0.07894541739742611,0.12127769646297737,0.04538534861213794,0.6647686244362001,0.023854866867646596,0.8418621040301218,0.06884194583326697
0.6649405134514813,0.012879370799965928,0.4575919551334596,0.1508444545088491,0.6945958779014809,0.7124506763471561,0.47048039808683584,0.7099984310752949,0.31375559646047957,0.6851901843041364
0.25561976965795274,0.2597179182181977,0.16813749193713734,0.39293558709696497,0.7282014795547901,0.2932561374901068,0.8279042460918649,0.9140470304374801,0.2669359878178347,0.5822132747103796
0.9977739696820345,0.8988802521658207,0.8733440450827678,0.23508063707599292,0.8187301458478025,0.4385266776669232,0.8338940028707232,0.45315861424134385,0.8124982926416799,0.27886330231637835
0.516030193166618,0.9606450108156616,0.10120883145890314,0.09168872426651009,0.45376804525044245,0.12315997188032735,0.9674713555026626,0.24356573887803867,0.9552058096949673,0.10108746773116939
0.34117840535127575,0.18838379200555166,0.390697490323189,0.6413836018223552,0.9678748670165099,0.43803981085057786,0.5142478314503801,0.44653796738590834,0.4482199819517265,0.8853892625432656
0.08422893052222435,0.9298527198709673,0.4032690127242904,0.07837467717574031,0.43680914696196926,0.7275564779818003,0.734280227382611,0.060587024411691504,0.2528658088309127,0.6897793953177581
0.9352373452951774,0.7739434816335018,0.3523188863669394,0.6197374721733345,0.4994094328444777,0.3687791967860983,0.21104999980064365,0.48984806269457337,0.03952481516163997,0.10968293806422535
0.6224072001360923,0.38929370404607244,0.9991070019080712,0.022833841106705832,0.8793203031591729,0.5391611633364636,0.5305133886867951,0.24716621466914335,0.6944258272958922,0.47118266189986946
0.5896749734962139,0.5881996336797216,0.12803734534831712,0.7911220482618742,0.4441697836981593,0.9141841370339743,0.09254859895854828,0.06274809099674616,0.035192503381025975,0.28808497106184494
0.8273378780245726,0.1892450299811863,0.7791130822209494,0.23256184131895496,0.143491957679447,0.829671568267678,0.6261134607007344,0.669926531617098,0.7506787312221607,0.32008319803398944
0.6428236989416193,0.02994557884883331,0.8291214696402293,0.8180251937947575,0.6828604667873966,0.6176934925511054,0.3470166440869459,0.09305024861968769,0.11845169769935149,0.09411534323340542
0.6806632238836027,0.6985901460367939,0.9160721391915162,0.30636153688525725,0.08387738415504242,0.946081723702825,0.6608022271813311,0.35217763856533313,0.304941951674897,0.4646071304918221
0.7200496532467712,0.5042719253342511,0.56762049940428,0.38528056976254077,0.2845066308433468,0.3294445483009284,0.9179136824590554,0.09907965965304344,0.30883220240923115,0.4743600752049143
0.15418360395182573,0.5488819702328199,0.8729643521204536,0.9185401498484022,0.67851599550936,0.44667055653323484,0.9346563294276563,0.9742372470622398,0.11874194026990947,0.4770493978117063
0.9030026258434668,0.8295365040897617,0.15451987477889506,0.4727959695282573,0.49559667838021226,0.6775217070297072,0.8867750959141524,0.18181577046362274,0.7238683966280375,0.21579817313970073
0.5196696053700679,0.2205398273222029,0.6485860596841025,0.5354022518917969,0.3114262712004754,0.33847383024492106,0.5074990841972575,0.8436409091048572,0.10830083787522915,0.35416940209062653
0.601747010131318,0.4502647158978642,0.39899130796876814,0.11274721285728195,0.17773239429741716,0.6897214572591296,0.9100724731758078,0.8904054322487585,0.5845218037320743,0.6726433454567132
